eno,ename,eadd,salary
85,Carmine Wick,PO Box 57823,42358.12
84,Demetrius Scoggins,PO Box 33102,57437.0
92,Dorine Lawson,PO Box 97806,42036.44
80,Stepha Edwin,3rd Floor,54679.03
27,Ofelia Sandiford,Suite 8,57454.34
8,Tierney Rupprecht,Suite 1,45538.33
41,Trixi Lambole,Suite 73,94155.7
69,Estrellita Caren,Suite 28,21175.2
96,Kristi Growcott,Room 886,16656.02
25,Dorry Goldin,Apt 733,27489.2
49,Maire Ellul,Room 1469,62884.17
21,Amandy Chstney,7th Floor,28885.74
14,Shanon Donnellan,19th Floor,28631.98
14,Nikolaos Snoad,Room 1419,97693.39
95,Querida Anersen,PO Box 74843,88780.46
97,Madella Mains,PO Box 29498,12363.22
56,Lilllie Russel,Suite 7,14961.64
31,Cory Van der Hoeven,Room 1010,18313.95
75,Carny Hedde,Apt 1603,31694.71
97,Melinda Benninger,Room 1633,23355.14
91,Salomone Blazhevich,Suite 78,71457.96
31,Cal Lillie,Suite 42,53527.44
22,Justin Faughey,PO Box 20758,98668.95
26,Judd Trengove,11th Floor,64225.67
92,Vanni Broady,Room 90,91381.42
79,Dino Chick,Room 1144,60382.56
19,Fionna Peddie,Suite 30,69704.87
62,Candice Beagley,1st Floor,65370.85
75,Wilmette Troctor,PO Box 93087,16090.75
73,Naoma Stairmand,PO Box 10719,45008.25
16,Alphonse Jankovsky,Apt 1905,21678.61
7,Nikolas Moles,Apt 1135,43683.91
23,Chrisy Ghelarducci,PO Box 18778,31054.95
13,Waylin Ruppeli,PO Box 30386,86896.59
39,Gar Dowman,Suite 49,57257.46
42,Alayne Groocock,PO Box 45265,33892.43
67,Casey Cockren,PO Box 50402,10273.27
46,Andriette Dabbs,Apt 242,48664.75
6,Eolande Bampforth,Apt 1930,23632.16
59,Orella Filipowicz,Suite 68,29806.36
73,Marcie Kiltie,PO Box 46378,10352.26
53,Jen de'-Ancy Willis,Apt 845,32383.09
63,Keeley Shemmans,Room 907,85614.14
12,Enrichetta Franschini,5th Floor,55057.29
30,Doralynne Izat,19th Floor,10937.87
5,Christophe Yoseloff,Suite 28,16402.29
15,Kendell Corps,Apt 441,70503.2
86,Glenn Poulett,PO Box 98016,43098.09
43,Blake Frankes,Room 1408,98897.68
45,Aida Lusted,Apt 17,12816.17
